,title,write_date,score,content
1183,엽문4: 더 파이널,2020-04-05,5,시원섭섭한 마무리
1184,엽문4: 더 파이널,2020-04-04,6,내용이야 이전 영화들 복붙 수준인데 액션 시퀀스 만큼은 여전히 만족
1185,오! 문희,2020-10-11,6,"무난하면서 어느 정도 재미있는 코미디영화였습니다! 시골 구석에서 여자 아이가 뺑소니를 당하여 혼수상태에 이르렀고, 당시 목격자가 치매환자 할머니라는 점에서 아들과 함께 뺑소니의 단서를 찾기 위한 좌충우돌 여정을 코믹하면서 황당하게 전개되었으며, 결말에 드러나는 충격적인 반전까지 어느 정도 볼만했습니다! 전반적으로 코믹하면서 어느 정도 볼만했으니, 별 3개 드립니다!! more"
1186,오즈의 마법사: 요술구두와 말하는 책,2020-01-22,10,어린이들의 눈높이에 맞춘 현대판 <오즈의 마법사>
1187,오케이 마담,2020-08-24,6,"억지스럽고 말도 안 되는 면이 많았지만 그럭저럭 볼만한 코미디영화였습니다! 북한 간첩에 의하여 비행기가 납치되고 승객들이 인질로 붙잡힌 상황 속에서 평범해 보이는 부부가 살아남기 위한 서바이벌을 보였으며, 이들의 진짜 정체가 드러나는 모습이 너무 개연성 없고 억지스럽다는 생각이 들었습니다! 전반적으로 억지가 많았지만 나름대로 볼만했으니, 별 3개 드립니다!! more"
1188,오케이 마담,2020-08-18,10,"80, 90년대를 풍미했던 홍콩 무협 액션 코미디 영화는 한국 액션  감독들에게 교과서이자 로망이 되었고 풍성해진 한국 영화계에서 자신들의  실력을 발휘할 토대가 되었다. ‘오케이 마담’이라는 제목에서 ‘마담’으로  연상되는 ‘땡큐마담’, ‘예스마담’에서 주연을 맡으며 엄청난 무술 실력을  과시한 양자경이 떠오르듯 오케이 마담의 이미영(엄정화)도 양자경과 같이  엄청난 무술 실력을 비행기 내에서 발휘한다.  작품의 설정은 딱 예상 되듯 한국의 분단 상황을 토대로 한다. 그 양상은  ‘강철비’와 달리 설정에 그칠 뿐 작품은 우리네 친한 이웃으로 살던 시장  꽈배기 집 미영을 기내에서 테러범을 응징하는 영웅으로 만드는 데  주력한다.  액션에 주력하면서 작품은 코미디에도 공을 쏟는다. 미영의 엄청난 무술  실력도 돋보이지만 그 무술 실력을 과시하기 전 단계에서 보이는 친밀한  서민의 모습, 남편인 석환(박성웅)은 전파상을 운영하면서 성실하고  살뜰하게 살면서 이벤트 당첨을 원하는 소박하고 다정한 이다. 딸인  나리(정수빈)는 말괄량이 기질이 다분히 있으며 이 세 식구는 그리 넓지  않은 아파트에서 고장난 세탁기를 고치며 궁색하게 살고는 있으나 어느  이웃처럼 보통 사람의 모습을 보이며 과장된 기쁨과 환희에 코미디에  해당할 만한 과잉된 모습을 보인다.  천신만고 끝에 비행기에 오른 세 식구는 테러가 일어나기 전까지 순박한  모습을 보이지만 테러 발생 뒤 이미영은 물론이고 석환 또한 단순한  전파상 아저씨의 모습을 벗고 전직 특수 요원의 능력을 발휘한다.  홍콩 액션 코미디 영화의 영향이 짙은 작품이지만 외국에서도 한국 액션  영화의 실감나는 타격감으로 감상할 수 있는 생생한 고통과 상처를  묘사하는 모습에서는 더 진일보 했다고 할 수 있다.  ‘오케이 마담’은 잘 만든 기획 영화이자 관객의 웃음을 유발하면서  오래간만에 영화 자체의 즐거움을 느끼게 해 준 작품이다. ‘즐거움’을 온전히  추구하며 성차에 대한 눈살 찌푸리는 거 하나 없이 균형 있는 대중 감성과  취향을 고려한 과잉과 설정에도 좋은 점수를 줄 수 있는 작품이다. more"
1189,오케이 마담,2020-08-16,5,"분위기는 유쾌, 재미는 유치"
1190,오픈 더 도어,2020-04-10,5,'오멘' 오마주도 아니고 너무 플롯 베낀 티가 난다.
1191,온워드: 단 하루의 기적,2020-06-20,7,역시 기본빵은 해주는 픽사 애니. 마지막은 울림까지.
1194,와일드 시티,2020-06-18,6,다소 익숙한 내용임에도 사실적이고 적나라한 표현으로 인해 몰입감이 시종일관 유지
1201,울프 콜,2020-03-08,6,중반까지 지루함만 버티면 그 이후부턴 꿀잼 모드
1202,워터 릴리스,2008-08-03,6,잘은 모르겠지만 소녀에서 여성으로 되어가는 성장내용
1203,원더 우먼 1984,2021-01-23,5,로맨스와 메세지만 남은 히어로 영화
1204,원더 우먼 1984,2021-01-03,8,"아직까지 80년대의 향수가 걷히지 않고 있다. 21세기를 맞이한 21년의  세월이 무색하게 영화뿐만 문화 전반에서 과거 추억에 빠져 오랫동안  헤어나오지 못하는 모습인데 문제는 과거의 추억뿐만 아니라 당시의 낡은  기조까지 그대로 답습 한다는 데에 있다.  ‘원더우먼 1984’는 제목 그대로 80년대에 등장한 다이애나(갤 가돗)의  이야기로 당시 할리우드의 가치를 전면에 내세우며 영웅물치고는 전혀  새로울 것 없는 권선징악의 전형적인 모습으로 관객을 맞이한다. 그나마  할리우드의 대규모 시각적 쾌감을 연출하고 즐기기에는 어느 정도의 재미는  보장한다는 게 위안으로 삼을 거리다.  급성장하고 대중문화 전반에 화려한 시각화, 특히 MTV의 등장으로 음악을  듣는 것만이 아닌 보는 음악으로의 지각적 변화가 꿈틀대고 대중문화의  황금기를 구가하던 80년대의 풍경은 21세기의 영웅물을 장식하는 문화  코드가 되고 문화 코드에서 당시의 뻔한 플롯을 도입하며 식상한 모습으로  다가온다.  권선징악 코드에서 악역인 맥스 로드(페드로 파스칼)는 자기 자신을 황금  석화 시켜 욕망의 화신이 되고 이는 미국 자본주의의 무한한 욕망을  대변한다. 그러나 끝없는 욕망의 추구가 야기한 전지구의 멸망은 어느  서사에서나 보던 사례이자 간단하게 욕심부려야 좋을 게 없다는 교훈을  전달할 뿐이다.  서로의 욕망을 제어하며 평화를 되찾고 막을 내린 후 쿠키 영상에서  등장하는 반가운 얼굴로 다음 시리즈의 전개를 어느 정도 점 칠 수 있으며 첫  편의 화려하고 비범한 시선 대신에 관습에 젖은 두 번째 시리즈가 아쉽다고  할 수 있다. more"
1205,원더 우먼 1984,2020-12-27,5,갤 가돗이 연기를 이렇게 못 할 줄은 몰랐다.
1206,원더 우먼 1984,2020-12-27,9,"재미있고 스케일이 넘치는 DC코믹스히어로영화였습니다! 전편 이후 3년 만에 나온 속편으로 1984년 냉전 시기를 배경으로 하여 원더우먼과 최강 여성 빌런 치타우먼과의 대결과 악마의 기운이 담긴 종유석의 엄청난 파괴력과 멸망을 저지하기 위한 숨막히는 사투까지 모두 잘 보여줘서 역시 기대를 저버리지 않은 영화였습니다! 전반적으로 스케일 넘치고 기대 이상이었던 영화였으니, 별 4개 반 드립니다!! more"
1215,이웃사촌,2020-11-30,8,"코믹하면서 감동적인 현대사실화였습니다! 1985년 격동의 시기에서 '빨갱이'로 몰려 강제로 자택 연금 조치가 된 대권 후보 정치인과 이웃집에서 정치인에 대한 도청 명령을 받은 도청팀장의 기막힌 만남과 정든 이웃으로 발전하게 되면서 벌어지는 숨막히는 위협과 처참한 상황에까지 실제 사건을 잘 모티브했으며, 정우와 오달수의 연기도 나름 괜찮았습니다! 전반적으로 코믹하고 감동적이었으니, 별 4개 드립니다!! more"
1217,이장,2020-11-10,8,맞아요. 아프고 화목하진 않지만 그럴 수 있고 따뜻한 영화.
1219,인비저블맨,2020-04-09,7,"'할로우 맨'을 넘는 서스펜스호러영화였지만, '할로우 맨'에 비하여 긴장감이 조금 덜하고 소름돋는 부분이 많았지만 그나마 반전적인 부분들도 있어서 어느 정도 볼만한 영화였습니다! 전반적으로 투명인간이 등장하는 역대 영화들 중에서 그나마 비중 있었고 반전 전개가 괜찮았으니, 별 3개 반 드립니다!! more"
1220,인비저블맨,2020-04-05,10,"‘투명인간’은 관음증 욕구를 극대화하고 타인의 시선을 의식할 필요 없이  타인에게 온갖 범죄를 저지를 수 있다는 가정하에 SF 스릴러의 대표적인  소재가 됐다. 투명인간이 돼서 다른 이들을 공포에 빠뜨리는 건 별로 참신할  게 없으나 이 소재를 현대의 성에 따른 폭력, 차별, 착취 문제와 연결하면 그  공포는 극대화 되고 아울러 시대착오적이고 인간의 근본적인 폭력적  성향까지 엿볼 수 있는 계기를 제공해 준다.  세실리아(엘리자베스 모스)는 애드리안(올리버 잭슨 코헨)의 집착, 폭력,  자신을 물건처럼 대하고 자신의 모든 걸 독재자처럼 통제하고 제재하는데  지쳐 새벽에 그의 집을 탈출, 언니 제니퍼의 차를 타고 제니퍼의 친구  경찰 제임스(알디스 호지)의 집에 머물게 된다. 애드리안은 첨단 광학 기술  분야에서 엄청난 업적을 이룬 이로 이에 따른 금전적 보상은 물론, 사회에서  자신을 바라보는 시선에 대해 자부심을 느끼는 인물이지만 그 재능과  대조적으로 아주 극단적인 타인에 대한 모멸감이나 더 심하게는  소시오패스나 사이코패스 같은 성향도 보이는 위험한 인물이다. 현대  자본주의 사회에서 부의 보장이 신분적 방패막이가 되고 이를 악용해  타인들에게 위협을 가하고 타인을 자신의 부로 소유할 수 있다는 망상에  빠진 잠재적 범죄자라고 할 수 있다.  온갖 억압과 폭력을 견디다 탈출한 세실리아는 제임스의 집에 살면서 안정을  찾던 중 애드리안의 자살 소식을 그의 동생 톰(해리엇 다이어)을 통해 듣게  되고 톰은 애드리안의 동생이자 변호사로서 그녀에게 애드리안의 유산이  상속될 것을 통보한다. 작품은 애드리안의 자살 소식과 세실리아가 그  유산을 상속받는다는 통보 이후 급선회하고 제목처럼 투명인간의 습격을  받는 세실리아의 처절한 인생 고난사를 묘사한다.  ‘인비져블맨’은 투명인간이 자신의 존재를 시각적으로 차단해 타인을  위협하는 데서 그치는 게 아니라 자신의 범죄를 악의적으로 타인에게 씌워  기존에 제공했던 공포의 단계에서 한 단계 더 나아간다. 특히 세실리아가  언니 제니퍼에게 악의가 담긴 메일에 대해 해명을 하려고 대중적인 식당에서  둘이 만났다가 벌어지는 일은 작품이 투명인간의 공포와 아울러  현대사회에서 투명인간이 존재할 경우 벌어질 만한 강력범죄의 가능성을  시사한다.  자신이 믿고 의지했던 언니 제니퍼에게 절대로 보내지도 않았던 메일로  관계가 최악이 되고 제임스의 딸 시드니(스톰 레이드)와 대화를 하다가  발생한 폭행 또한 세실리아에게 씌워지고 식당에서 벌어진 일은 세실리아를  코너로 몰아넣는 데 성공한다.  정신병원에 수감 된 세실리아는 온갖 모멸과 환멸을 겪으면서도  투명인간으로 여겨지는 애드리안을 역으로 복수할 생각에 불탄다. 계속  당하기만 했던 세실리아는 정신병원에서부터 전략을 세우고 정통 액션  장르처럼 여전사로 인물의 속성을 바꿔버린다.  작품은 투명인간이 기존처럼 인간신체 자체를 타인의 시선에서  생물학적으로 투명하게 만드는 데 골몰하는 게 아니라 투명인간이 될 수  있는 도구를 제시한다는 점에서도 참신하다. 특히 그 도구는 장르는  다르지만 ‘해리포터’ 시리즈의 투명망토와 속성이 같다고 할 수 있으며  군산복합체의 가공할 만한 최첨단 무기를 자랑하는 미국이라는 나라가 이를  상용화하지 말라는 법도 없다는 걸 절감케 한다.  투명인간의 무시무시한 위력이 한 여인을 소유, 억압, 지배하려는 한 남자의  뒤틀려진 욕망과 결합했을 때 ‘인비져블맨’은 단순히 기존 투명인간이  등장했던 작품의 공포감을 넘어 성차로 발생하는 악의가 최첨단 기술과 어떤  방식으로 연계될 수 있다는 실례를 제시함으로써 씁쓸한 맛을 남긴다.  할리우드 SF에서 등장했던 가상의 기술이 더 이상 가상이 아닌 실제가 된  경우가 꽤 많은 걸 생각하면 ‘인비져블맨’의 기술은 가상으로 남기는 게  좋아 보인다. more"
1221,인비저블맨,2020-04-01,7,보이지 않는 공포 그 이상.
1222,인비저블맨,2020-03-04,4,"보이지 않는 것과 싸움, 반전은 의아하고 결말은 뻔하다."
1223,인비저블맨,2020-02-27,6,마지막 반전 때문에 무리수를 둔 게 오히려 결말을 망쳤다.
1225,작은 빛,2020-01-30,10,남루한 세상에 삶을 틔우는 소생의 카메라 어떤 이의 삶도 좋은 예술이 될 수 있다. 그것이 찍는 행위가 가진 힘이다 가족은 벗어나지 못하는 굴레가 아니라 헤쳐나가는 나란히의 가치 more
1228,저 산 너머,2020-05-05,8,"조금 지루하기는 했지만 따뜻하고 감동적인 실화였습니다! 전 세계에서 추앙받는 김수환 추기경의 어린 시절을 순수하면서 가슴 따뜻하면서 아픈 상처를 아주 잘 표현해서 많은 감동을 주었지만, 천주교 관련 내용도 몇몇 등장해서 조금 지루하기도 했습니다! 그래도 순수함과 따뜻함을 동시에 준 실화였으니, 별 4개 드립니다!! more"
1229,저 산 너머,2020-05-02,8,"고 김수환 추기경의 유년 시절을 다룬 ‘저 산 너머’는 범작이다. 고인이  태어난 엄혹한 시절의 고난보다는 유년 시절 특유의 순수함과 애틋함, 특히  모친(이항나)을 향한 애정과 선자(이슬비)의 이야기를 뼈대로 김수환  추기경이 천주교에 귀의하기 전까지 시기를 다룬다.  당시 서양 중이라는 기묘한 호칭으로 불리는 윤신부(강신일)가 수환의 형  동한(정상현)과 수환을 앉혀놓고 들려주는 옛날이야기는 한국에 천주교가  보급될 당시의 수난기이자 자연스레 포교하는 역할까지 하는 데  비종교인들도 눈살을 찌푸릴 정도는 아니다.  무난하게 진행되는 작품은 전형적인 종교적 고행을 짊어지는 성직자의  자세와 마음가짐을 전달하고 일반 민중들이 종교를 의지하며 삶을 버텨내는  일상적 삶에 공감대를 형성한다.  일제의 핍박과 더불어 가난이 일상이었고 힘겨운 삶을 버텨야 했지만 작품은  이런 가운데서도 아름다운 한국의 풍광을 담아내며 담백하고 관객의 눈을  정화할 정도의 촬영으로 청량한 기분을 제공한다. 복잡할 것 없이 담백한  작품 보며 종교보다도 그저 삶의 한 단면을 감상하기 좋은 작품이다. more"
1230,정직한 후보,2020-03-07,7,"다가오는 4.15 총선을 앞둔 시점에서 개봉 적합한 영화였고, 나름대로 공감도 가고 코믹해서 볼만했습니다! 하지만 기도 하나 만으로 사람이 갑자기 정직해진 점은 웃기는 장면도 있었지만, 뭔가 좀 억지스럽다는 생각도 들었습니다! 그러나 시국 풍자하는데 딱 좋은 영화였다는 점은 괜찮았으니, 별 3개 반 드립니다!! more"
1231,정직한 후보,2020-03-04,2,솔직함 속 웃음 유발 개그로 인한 본질의 농도가 탁해졌다.
1232,정직한 후보,2020-02-18,4,"재미도, 감동도 없는 정직함이란... 남는 건 라미란"
1233,정직한 후보,2020-02-12,4,뜬금 없는 카체이싱은 이 영화의 수준을 적나라하게 보여준다.
1234,젠틀맨,2020-03-22,8,"화끈하면서 남자다운 면모가 살아있는 영화였지만, 반전에 반전인지라 전개가 복잡했던 것이 아쉬웠습니다! 마약과 범죄 사회에서 벌어지는 의리와 배신, 음모에 이르기까지 여러 가지로 잘 표현하면서 배우들의 명연기도 좋아서 전반적으로 좋았지만 반전이 많았던 탓에 전개를 이해하기가 조금 어려웠으나 나름대로 볼만했으니, 별 4개 드립니다!! more"
1235,젠틀맨,2020-02-26,6,스타일리쉬한 영화 때깔을 못 따라가는 스토리적 재미
1236,젠틀맨,2020-02-19,8,메튜 메커너히의 작품은 무조건 봐야 된다. 너무 재미있고 실감난다.
1238,조제,2020-12-18,10,"전체주의 국가 한국은 성공한 이들만을 인생의 모범, 전형으로 삼으며  그러지 못하거나 인정투쟁에서 패배한 걸 쉽게 인생 패배로 여기는 편협한  곳이다. 일본 영화 ‘조제, 호랑이, 그리고 물고기들’을 리메이크한 ‘조제’는  남녀 간의 애정 설정을 빌려오고 어느 사회에서나, 구체적으로는 자본주의  사회에서 낙오한 이들을 바라보는 시선에 현실적인 한국화를 도입한  작품이다.  훤칠하고 키 큰 준수한 영석(남주혁)은 조제(한지민)로 불리는 하체가  불편한 장애인을 도우다가 그녀와 인연을 맺는다. 대학생이자 취업준비생인  영석은 학교 교수 혜선(박예진)과 불장난을 하기도 하고 자신의 전공 교수  최경(이성욱)에게는 착실한 모범생이다. 그런데 으레 한국의 대학교라고  하면 서울 소재 대학을 떠올리기 십상이지만 영석이 최경 교수연구실에서  같이 커피를 마시면서 최영이 일자리를 소개해 주는 과정에서 영석이  다니고 있고 최경이 교수로 재직 중인 학교가 지방대임이 드러난다.  한국에서 ‘지방’, 그것도 지리적인 위치뿐만 아니라 철저하게 비주류이자  학벌의 신분제에서 천민 취급을 받는 지방대는 일찌감치 불과 20여 년  밖에 살지 못한 인생들에게 낙오자의 낙인을 주는 곳으로 취업이든 연애든,  한국에서 지방대라고 하는 입시 실패의 과오를 인생 실패로 여겨 열등,  열패감을 안기는 한국의 지옥 같은 현실을 일깨우는 곳이다.  영석이 순수한 마음에 조제와 인연을 맺으면서 조제와 함께 사는 할머니  다복(허진)과도 인연을 맺어 폐지를 비롯한 고물을 같이 주우며 조제와 함께  대화를 하는데 조제는 할머니가 갖다주는 버려진 책을 통해 세상을 배우고  자신의 실질적인 인생이 아닌 책에서 영감을 얻은 가상 세계에서 자신의  인생을 재 창조한다. 이런 특이한 모습의 진실을 전파하는 이로 조제의  보육원 친구 별명이 점봉이인 철호(조복래)가 영석과 식사 자리에서  자연스레 조제의 진짜 인생을 얘기하며 실체가 드러난다. 작품에서  지방대생과 장애인과의 애정전선에서 치열하게 한국의 비주류를 무시하는  실태를 고발하고 처절함을 표현하지는 않지만 작품은 그런 한국의 특수하고  병폐에 머무르는 사회상은 무시하고 철저하게 이들의 애정양상, 그리고  조제가 버려진 책들을 열독 하며 구성하는 세계관과 고물을 수집하며  구성하는 조제가 사는 낡은 집을 통해 한국 사회가 천민자본주의로 앞만  보고 달려가며 과거의 산물을 쉽게 버리는 것과 달리 보존에 대한 가치를  작품에 등장하는 미장센으로 표현한다.  자취하는 영석은 같은 전공의 후배 수경(이소희)과도 인연으로 수경이  머무는 고시원에서 사랑을 나누려다 멈추며 고시원의 공간을 바라보며  수경에게 그리 비싸지도 않은 지방에서 더 좋은 데서 살지 왜 고시원에서  사냐고 물어본다. 수경은 그러면 자신이 휴학해야 한다며 가정형편이  그리 좋지 않은 게 간접적으로 드러나는데 작품은 지방대라는 현실에  지방대 또한 등록금 만큼은 서울 소재 대학이나 같이 비싸다는 걸 보여주며  수능의 고득점과 무관하게, 그리고 학벌의 서열에 무관하게 영석이나  수경같이 똑같은 청춘남녀가 존재함을 보여준다.  영석과 수경의 대화에서 자연스레 조제의 존재를 알게 된 수경은 자신의  고모를 통해서 조제의 낡은 집을 수리해주고 인연을 맺게 된다. 조제는  자신이나 다목을 도와주는 영석에게 밥을 지어주는데 원작의 츠네오가  맛에 감탄하는 모습을 직접 드러내는 것과 달리 영석은 맛있다는 걸 그저  묵묵히 열심히 먹는 모습으로만 표현하고 특히 햄을 구우면서 프라이팬이  아닌 망가진 다리미판을 활용하는 모습은 감독 김종관의 세밀한 연출이  돋보이는 모습이며 역시나 작품 전반에 흐르는 복고풍 성향은 차분한  분위기와 서정성과 조화를 이룬다.  원작대로 영석과 조제는 이별을 하는데 이별의 사유는 그저 관객의 상상,  예측에만 맡길 뿐이다. 그리곤 이별 후에 각자 인생을 사는 이들의  스쳐지나가는 모습을 담지만 이 또한 담담히 지나갈 뿐이다. 마지막 벚꽃  흩날리는 환상적인 풍경을 배경으로 휠체어를 미는 영석과 거기에 앉아있는  조제의 문학적인 대사가 인상 깊게 남을 뿐이다.  비주류를 설정하지만 그 비주류의 고통이 아닌 그저 보편적이고 어디에서나  목격할 수 있는 일반적이지는 않은 멜로를 선보인 작품은 단순한  리메이크를 넘어선 리크리에이트 이며 이누도 잇신의 시선과는 다른  김종관의 시선의 도드라진 결과물이 됐다. more"
1239,조제,2020-12-11,7,"따뜻하면서 잔잔했지만 뭔가 애매한 로맨틱멜로영화였습니다! 하반신 마비 증세를 가진 여성과 그녀를 도와준 졸업 앞둔 대학생 청년의 만남과 그 과정에서 싹 틔는 사랑까지 초반부터 중반까지의 전개는 좋았지만 결말은 결국 사랑이 이루어지지 않은데다 그 이유조차 밝혀지지 않은 채 마무리된 점이 매우 안타깝게만 느껴졌습니다! 전반적으로 따뜻하면서 뭔가 많이 애매했으니, 별 3개 반 드립니다!! more"
1240,조조 래빗,2020-03-06,8,"제2차 세계대전 말기에 엄마와 단둘이 살고 있는 한 소년의 독일에 대한 충정심과 당시 전쟁 상황을 블랙코미디식으로 풍자해서 잘 각색한 영화였습니다! 다만 상상 속의 친구가 유명한 독재자 히틀러라는 점은 왠지 좀 꺼림직하고 전범 사상을 찬양하는 듯해서 좀 그러했으나 각색만큼은 괜찮았으니, 별 4개 드립니다!! more"
1241,조조 래빗,2020-02-25,10,"독재 치하 국가에 태어난 아이들은 학교에서 제대로 된 수업을 받기보다  종교화로 강요된 세뇌를 당한다. 한국의 이승만, 박정희, 전두환 시대를 거쳐  현재에도 지속 돼는 서울대 만능주의는 독재를 벗어났어도 독재의 영향 아래  있는 교육의 폐단을 보여준다.  나치 치하에 있는 아이들에게도 특히 나치의 궤변과 인종주의는 여과 없이  그대로 세뇌된다. 나치에 동조할 수밖에 없는 아이  조조(로만 그리핀 데이비스)는 유약하고 겁 많은 아이로 소년단에  선발되어서도 강압적으로 토끼를 죽이라는 상급생의 강요에 벌벌 떨고  멋모르고 수류탄을 들고 뛰다가 다쳐서 얼굴에 흉터를 입는다.  조조의 엄마 로지(스칼렛 요한슨)는 남편 없이 아들 조조를 키우면서도  풍류를 즐기고 옷을 잘 입는데다가 출중한 외모 탓에 평판이 좋은 이다.  아울러 인권 의식이 있어서 유대인 소녀 엘사(토마신 맥켄지)를 자신의 집에  숨겨주고 나치의 폭정을 비판할 줄 아는 소신 있는 이다.  그러나 조조는 세뇌를 당해 나치를 자신의 숨겨둔 심리적 친구로 여겨  나치가 내세우는 가치관을 맹종할 따름이다. 그러다가 엄마가 숨겨준 엘사를  발견하고 나치가 얘기한 유대인들 외모, 성격이 판이해 갈등을 겪게 되고  이는 나치가 세뇌한 가치관으로부터 탈피하는 계기가 된다.  어린아이들일수록 판단력이 없는 데다가 먼저 인생을 살았다는 이들이  은폐하는 인생의 본질 탓에 동서고금을 막론하고 세뇌를 당하면서도 이게  세뇌인지 교육인지 분간을 하지 못한다. 그러나 조조처럼 인생에 있어서  편견과 세뇌를 깨부술 순간을 마련하고 가장 큰 비극을 맞이해 엄청난  눈물을 흘리다 보면 이는 성장을 넘어서 인생의 진실을 마주하는 계기로  삶의 전환점이 된다.  동화에서나 나올 법한 모습으로 조조를 속이던 히틀러(타이카 와이티티)는  결국 조조의 발길질에 나동그라지며 조조의 인생에서 자취를 감춘다.  자신의 인생을 지배하는 어느 특정 이념이 자체적으로 강조하는 가치관에서  균열이 일어날 때 이를 의심하고 이를 파헤쳐서 본질을 알게 될 때만이  성장과 인생의 주체적인 입장을 견지할 수 있는 것이다. more"
1242,조조 래빗,2020-02-20,10,높은 칼로리 음식에 순백한 우유를 곁들여 먹는 맛. 해학스러운 풍자는 강렬했지만 순한 맛이 일품이었다. more
1243,조조 래빗,2020-02-09,8,조조와 요키의 우정 영원하길
1248,주디,2020-04-01,10,"한국 아이돌 산업의 가장 큰 문제점은 인권 유린이다. 한창 성장기 시절에  청소년들은 학교는 물론이고 일반적인 또래 집단과 괴리돼 대중적인 성공을  동기삼아 모든 걸 희생하라는 기획사의 요구조건에 인생 전반은 아닐지라도  소중한 순간을 내어준다. 치열한 경쟁과 엄청난 희생으로 성공이라는 열매를  맛본다고 해도 사생활의 박탈, 자아의 상실, 성공으로 인한 오만함과  자만심으로 윤리적 문제는 물론이고 범법행위를 저지를 수 있는 여건 등  성취와 성공에 대한 부작용은 개인에게는 엄청난 부담이자 재앙으로 다가올  수 있다.  아이돌이라는 특유한 집단성 탓에 이는 한국이라는 특수한 천민자본주의가  만연된 세계에서나 발생하는 연예 산업의 부작용으로 보이지만 이는 연예  산업을 거대화하는데 초석을 다진 미국에서 초기에 이미 발생했던 문제다.  영화 오즈의 마법사에서 관객들과 청자들의 귀를 사로잡으며 모든 이에게  환상과 꿈을 제공했던 도로시의 주디 갈란드(르네 젤위거)는 과거의 영광은  거의 남은 게 없이 미국의 싸구려 클럽을 돌아다니며 얼마 안 되는 출연료로  근근이 살아가는 처지다. 자신의 생계도 위험한데도 순수하게 애정으로만  아이 둘을 키우려고 하는데 전 남편 시드니(루퍼스 스웰)와 양육권 문제로  격렬하게 싸울 뿐 주디의 벌이로는 자신이 사랑하는 아이들을 거둘 수 있는  처지가 아니다.  작품의 도입부에서 서두에서 언급한 것처럼 한국의 아이돌을 육성하는  기획사의 사장이 할 법한 얘기가 오즈의 마법사 최고  제작자(리처드 코더리)의 입에서 나온다. 냉정한 현실감각으로  주디(다르시 쇼)의 외모는 보통이지만 목소리가 출중하며 그 목소리로  관객을 사로잡아 그들 사이에 아이콘이 되어 금전적인 성공을 조기에 이룰  수 있다는 것으로 주디에게 벌어질 재앙과 같은 통제, 감금, 욕망의 억제를  감수하라며 순간적으로는 귀에 솔깃한 제안이자 함정을 제안한다. 제작자는  냉철한 사업가로 주디 또래의 십 대 소녀들이 가정에서 사랑을 받는 게  좋다고는 하지만 그들의 평범하고 정해진 틀대로 사는 것에 대한  무미건조함을 역설하며 주디가 될 수 있는 슈퍼스타의 가능성으로 주디가  동일한 연령대의 소녀들과는 다른 세계에 살 것이며 그 삶이 인생을  풍요롭게 할 거라고 하며 애초부터 연예 산업에 발탁된 이들은 어느 분야든  여러 방면에서 일반인들과 괴리된 삶에서 사는 게 운명인 것을 강조한다.  작품은 소녀 시절과 성인 시절의 주디를 교차로 보여주며 소녀 시절의  엄청난 스트레스와 자유의 박탈, 억압이 성인이 된 주디에게 트라우마로  작용하고 마지막 거금을 벌 수 있는 런던의 토크 오브 타운이라는  공연장에서 벌이는 기행으로 절정에 달한다. 배우보다는 가수로서 공연을  진행하는 입장에서 주디는 줄담배와 음주로 자신의 공연을 보러온 관객은  물론 공연장 사장인 버나드(마이클 갬본)와 자신을 물심양면으로 돕는  로잘린(제시 버클리)을 난처하게 만든다.  조기에 이룬 성공은 영광을 제공했으나 그 영광에 드리운 그림자가  성인이 된 주디를 억압하며 주디는 결혼생활도 실패하고 결국 양육권도  빼앗기는 불운을 맛본다. 인생의 고통만이 그녀에게 남아 있는 듯 하지만  한 동성 연인의 식사 초대를 통해 그들의 고통을 알게 되고 자신의 고통에만  골몰했던 그녀는 타인의 고통을 알게 되고 점차 자신의 트라우마에서 조금씩  벗어나며 관객과 버나드, 로잘린에게 부담감을 덜어주고 그녀가 취할 수  있는 혼신의 공연을 선보이기 시작한다.  조기에 성공했던 이들이 짊어져야 하는 무게는 주디라는 실재했던 배우의  인생사로 안타깝고 가슴 저미게 다가온다. 성공 이후 드리워진 그림자에서  벗어나지 못하고 성공의 과정부터 주디에게 다가올 비극의 무게를 뚜렷하게  제시한 작품은 이름을 남기지만 그 이름을 남기는 대가로 자신이 잃는  온전한 삶의 쓰라린 흔적을 가슴 먹먹히 보여줄 뿐이다. more"
1249,주디,2020-03-29,9,"조용한 분위기에 감동적이면서 감미로운 음악실화였습니다! 전설의 팝스타 '주디 갈란드'의 일대기와 'Over The Rainbow'의 탄생을 아름답고 경쾌하게 잘 표현했음과 더불어 여주인공 '주디 갈란드' 역을 맡은 르네 젤위거의 뛰어난 인생 연기가 굉장히 대단해서 볼만했습니다! 전반적으로 감동적이면서 아름답고 조용한 분위기의 영화였으며 볼만했으니, 별 4개 반 드립니다!! more"
1250,주디,2020-03-25,6,역시 그녀는 무대 체질이었다
